epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4862.96,0.81579,0.56911,1.16661,0.97615,0.98032,0.9926,0.84099,0.63731,0.43203,1.07135,0.0011882,0.0011882,0.0011882
43,4998.41,0.80956,0.55701,1.16002,0.98801,0.98692,0.99399,0.79848,0.75849,0.41823,1.16734,0.0011684,0.0011684,0.0011684
44,5134.41,0.79326,0.55258,1.15845,0.98243,0.98802,0.99446,0.84481,0.62504,0.40514,1.05233,0.0011486,0.0011486,0.0011486
45,5270.5,0.78291,0.55435,1.13885,0.97849,0.98204,0.99434,0.81313,0.66379,0.40622,1.06464,0.0011288,0.0011288,0.0011288
46,5409.82,0.77526,0.55284,1.14226,0.96056,0.98204,0.99381,0.84531,0.64555,0.39592,1.07421,0.001109,0.001109,0.001109
47,5545.23,0.77564,0.54418,1.14809,0.99147,1,0.99488,0.848,0.6222,0.3684,1.04891,0.0010892,0.0010892,0.0010892
48,5680.4,0.76861,0.54182,1.14071,0.98816,0.9998,0.99488,0.85761,0.64141,0.37278,1.06027,0.0010694,0.0010694,0.0010694
49,5815.18,0.77584,0.53718,1.14587,0.98799,0.98551,0.99441,0.85004,0.62967,0.36706,1.04972,0.0010496,0.0010496,0.0010496
50,5949.73,0.74133,0.51271,1.11166,0.98788,0.97591,0.99394,0.86019,0.59829,0.36669,1.0129,0.0010298,0.0010298,0.0010298
51,6084.77,0.74086,0.51043,1.11159,0.97739,0.98204,0.99447,0.85596,0.61572,0.37545,1.04318,0.00101,0.00101,0.00101
52,6220.62,0.70418,0.49917,1.11274,0.97954,0.98802,0.99471,0.86354,0.58129,0.36027,1.00083,0.0009902,0.0009902,0.0009902
53,6340.42,0.71164,0.49014,1.11191,0.9896,1,0.995,0.86434,0.57803,0.34894,1.01304,0.0009704,0.0009704,0.0009704
54,6439.88,0.73993,0.48154,1.11747,0.99734,0.99401,0.995,0.86648,0.59768,0.36233,1.01792,0.0009506,0.0009506,0.0009506
55,6551.9,0.78484,0.52231,1.149,0.99143,0.98802,0.99464,0.86636,0.56578,0.35847,0.99203,0.0009308,0.0009308,0.0009308
56,6688.25,0.7163,0.49682,1.10707,0.99268,0.99401,0.99494,0.88096,0.55594,0.34007,0.98938,0.000911,0.000911,0.000911
57,6824.17,0.69526,0.47689,1.09572,0.99398,0.98889,0.99494,0.8619,0.63559,0.35052,1.04784,0.0008912,0.0008912,0.0008912
58,6959.64,0.68053,0.46363,1.08307,0.99405,0.99962,0.995,0.8793,0.55545,0.31162,0.99396,0.0008714,0.0008714,0.0008714
59,7094.89,0.71246,0.47499,1.10447,0.99839,1,0.995,0.86711,0.55827,0.32252,0.9984,0.0008516,0.0008516,0.0008516
60,7230.36,0.68217,0.48203,1.0877,0.99905,0.98802,0.99494,0.88381,0.54332,0.31772,0.98223,0.0008318,0.0008318,0.0008318
61,7365.28,0.66812,0.46849,1.07983,0.99726,1,0.995,0.88456,0.53578,0.32777,0.96732,0.000812,0.000812,0.000812
62,7497.64,0.6736,0.45878,1.08925,0.99789,1,0.995,0.86234,0.60521,0.33846,1.01961,0.0007922,0.0007922,0.0007922
63,7633.91,0.67685,0.46893,1.08258,0.99342,1,0.99494,0.8849,0.53948,0.30463,0.98068,0.0007724,0.0007724,0.0007724
64,7770.7,0.66144,0.44662,1.08343,0.99903,1,0.995,0.87368,0.55979,0.30966,0.99169,0.0007526,0.0007526,0.0007526
65,7876.42,0.65197,0.44592,1.07199,0.99809,1,0.995,0.88342,0.53155,0.30252,0.95966,0.0007328,0.0007328,0.0007328
66,7979.78,0.64864,0.43509,1.06446,0.99952,0.99401,0.995,0.89582,0.51974,0.30045,0.95115,0.000713,0.000713,0.000713
67,8081.41,0.65388,0.44625,1.08419,0.9854,0.99401,0.99488,0.88529,0.537,0.30707,0.96594,0.0006932,0.0006932,0.0006932
68,8183.63,0.67794,0.45337,1.07555,0.99174,1,0.99494,0.84593,0.65609,0.34179,1.05779,0.0006734,0.0006734,0.0006734
69,8285.59,0.68115,0.4428,1.08167,1,0.99943,0.995,0.85358,0.62969,0.31323,1.04281,0.0006536,0.0006536,0.0006536
70,8387.84,0.63321,0.42256,1.05914,0.99931,1,0.995,0.89924,0.49844,0.29446,0.94377,0.0006338,0.0006338,0.0006338
71,8490.17,0.61847,0.42248,1.05324,0.99352,1,0.995,0.90243,0.49579,0.29072,0.94507,0.000614,0.000614,0.000614
72,8592.33,0.62408,0.42438,1.07113,0.99915,1,0.995,0.90193,0.49123,0.28847,0.93868,0.0005942,0.0005942,0.0005942
73,8697.07,0.62485,0.41719,1.05736,0.99937,1,0.995,0.88706,0.54597,0.29825,0.98602,0.0005744,0.0005744,0.0005744
74,8803.07,0.62378,0.43611,1.05749,0.99932,1,0.995,0.87266,0.59094,0.30632,0.99463,0.0005546,0.0005546,0.0005546
75,8908.06,0.60098,0.42748,1.0467,0.99747,1,0.995,0.90411,0.50363,0.28621,0.951,0.0005348,0.0005348,0.0005348
76,9038.52,0.61989,0.41754,1.04919,1,0.99184,0.995,0.90103,0.48191,0.28277,0.93553,0.000515,0.000515,0.000515
77,9151.29,0.59635,0.40054,1.02865,0.99976,1,0.995,0.9051,0.49544,0.27859,0.944,0.0004952,0.0004952,0.0004952
78,9253.33,0.60871,0.41165,1.05074,0.99929,1,0.995,0.90232,0.49669,0.2854,0.94657,0.0004754,0.0004754,0.0004754
79,9355.38,0.5865,0.41327,1.03408,0.99366,1,0.99488,0.89082,0.54031,0.29105,0.96908,0.0004556,0.0004556,0.0004556
80,9488.17,0.5922,0.40218,1.0435,0.99875,1,0.995,0.91936,0.45394,0.26246,0.90839,0.0004358,0.0004358,0.0004358
81,9625.16,0.55813,0.38612,1.02941,1,0.99753,0.995,0.89339,0.50752,0.27893,0.94562,0.000416,0.000416,0.000416
82,9761.34,0.56804,0.39071,1.02429,0.9993,1,0.995,0.9084,0.4645,0.26747,0.9114,0.0003962,0.0003962,0.0003962
83,9890.9,0.5727,0.38647,1.03091,0.99945,1,0.995,0.89636,0.5151,0.27947,0.95106,0.0003764,0.0003764,0.0003764
84,9992.38,0.56625,0.38214,1.01988,0.9999,1,0.995,0.91602,0.46302,0.26746,0.9206,0.0003566,0.0003566,0.0003566
85,10094.4,0.56941,0.3861,1.02369,0.99962,1,0.995,0.90459,0.46823,0.26455,0.92314,0.0003368,0.0003368,0.0003368
86,10196.5,0.57122,0.39028,1.03801,0.99958,1,0.995,0.91263,0.46239,0.2645,0.91029,0.000317,0.000317,0.000317
87,10298.8,0.54233,0.37186,1.02077,0.99943,1,0.995,0.91066,0.46919,0.25693,0.91379,0.0002972,0.0002972,0.0002972
88,10402.7,0.52475,0.36398,1.01774,0.99946,1,0.995,0.89987,0.4783,0.26387,0.92056,0.0002774,0.0002774,0.0002774
89,10503.5,0.55329,0.3871,1.03465,0.99954,1,0.995,0.90443,0.4552,0.26186,0.90785,0.0002576,0.0002576,0.0002576
90,10603.9,0.53829,0.37336,1.02149,0.99955,1,0.995,0.90631,0.4617,0.25508,0.91932,0.0002378,0.0002378,0.0002378
91,10702.7,0.47404,0.30772,0.97849,0.99901,1,0.995,0.90317,0.45298,0.26815,0.9025,0.000218,0.000218,0.000218
92,10802.3,0.43898,0.28319,0.96033,0.99951,1,0.995,0.91371,0.43114,0.26295,0.89,0.0001982,0.0001982,0.0001982
93,10902,0.42285,0.27639,0.94768,0.99948,1,0.995,0.89713,0.48565,0.26891,0.92688,0.0001784,0.0001784,0.0001784
94,11001.4,0.42142,0.259,0.95503,0.99905,1,0.995,0.91826,0.43124,0.25265,0.89214,0.0001586,0.0001586,0.0001586
95,11101.2,0.416,0.26348,0.95666,0.99871,1,0.995,0.92063,0.42776,0.25078,0.89038,0.0001388,0.0001388,0.0001388
96,11200.3,0.40996,0.26101,0.93635,0.99846,1,0.995,0.9237,0.42676,0.24729,0.89156,0.000119,0.000119,0.000119
97,11299,0.39033,0.25164,0.93215,0.99935,1,0.995,0.92466,0.40976,0.24069,0.87693,9.92e-05,9.92e-05,9.92e-05
98,11398.2,0.40179,0.25091,0.92854,0.99958,1,0.995,0.92083,0.43534,0.24662,0.89557,7.94e-05,7.94e-05,7.94e-05
99,11497.6,0.37972,0.24791,0.92947,0.99958,1,0.995,0.92609,0.41995,0.23831,0.8829,5.96e-05,5.96e-05,5.96e-05
100,11596.5,0.37467,0.24686,0.92011,0.9996,1,0.995,0.92771,0.41244,0.2339,0.87699,3.98e-05,3.98e-05,3.98e-05
